Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation of Cell Cycle Process (GO:0090068)	53/119	0.008043589791306802	0.06945407118973014	0	0	1.595203954825406	7.693476936961009	GPSM2;NUMA1;CEP120;KIF14;SMC5;CDC14A;OPN1LW;CSPP1;NUP62;PDGFRB;EDN1;EDN3;DDX11;PRKCE;CEP295;ATRX;KIF23;KNL1;RHOA;DHDDS;RAB33B;RRM2B;PHIP;MAD1L1;CPAP;CUL3;LEF1;PDGFB;LRP5;AURKC;NCAPH;USP19;INS;CDC42;SPAST;RACGAP1;RAD21;TPR;MAP3K20;PLK4;DYNC1H1;SVIL;STIL;RRM1;EGF;INSR;NCAPH2;IGF2;IGF1;CD28;SASS6;NCAPD2;NCAPD3
Anterograde Axonal Transport (GO:0008089)	20/37	0.008065294227528766	0.06952656277988493	0	0	2.3341246812626397	11.250912977593519	SNAPIN;AP3D1;DTNBP1;HSPB1;AP3B2;MAPK8IP3;SOD1;BLOC1S5;BLOC1S6;SPAST;KIF3B;KIF5C;KIF5B;KIF4A;BLOC1S3;KIF5A;KIF1C;NEFL;KIF1B;KIF1A
B Cell Activation (GO:0042113)	44/96	0.008167906924413432	0.07029513306941643	0	0	1.6803757298806803	8.078477894207532	HDAC4;TOP2B;CD40;FLT3;CHRNA4;PTPRJ;PIK3R2;PIK3R1;RASGRP1;MALT1;HSPD1;C3;CD79B;CD79A;CASP8;BLNK;PLCG2;SLC39A7;EPHB2;RAG2;FNIP1;JAK3;ZBTB7A;NHEJ1;RAG1;CHRNB2;IL10;CR2;MEF2C;PCYT1A;PRKCB;CD70;FLT3LG;CTPS1;PAX5;AICDA;ZAP70;KLF6;CD40LG;PTPRC;MSH2;CLCF1;KIT;BTK
Intraciliary Anterograde Transport (GO:0035720)	11/17	0.00843218666926505	0.0719767045101971	0	0	3.6354679802955663	17.361901340559918	IFT52;IFT74;TRAF3IP1;IFT81;IFT172;IFT122;IFT27;IFT80;IFT57;CLUAP1;IFT56
Muscle Tissue Morphogenesis (GO:0060415)	11/17	0.00843218666926505	0.0719767045101971	0	0	3.6354679802955663	17.361901340559918	TBX1;BMP4;BMP2;EFEMP2;NOTCH1;TTR;HEY2;TBX20;TCAP;NKX2-5;MYLK
Neural Tube Development (GO:0021915)	11/17	0.00843218666926505	0.0719767045101971	0	0	3.6354679802955663	17.361901340559918	TRIM71;STIL;TGFB1;INTU;ARL13B;PTCH1;DVL1;WDPCP;GRHL2;PKD1;DACT1
Neuron Projection Organization (GO:0106027)	11/17	0.00843218666926505	0.0719767045101971	0	0	3.6354679802955663	17.361901340559918	APP;GSK3B;PRNP;ARF1;DCTN1;KIFBP;INSR;ATP1A3;PSEN1;EPHB2;INS
Positive Regulation of Potassium Ion Transport (GO:0043268)	11/17	0.00843218666926505	0.0719767045101971	0	0	3.6354679802955663	17.361901340559918	KCNH2;KCNE1;CFH;KCNQ1;KIF5B;NOS1AP;FLNA;ANK2;TREM2;KCNN4;ADRA2A
Negative Regulation of Neuron Apoptotic Process (GO:0043524)	38/81	0.008500800260759925	0.07216603085479842	0	0	1.7545939992192292	8.365193527864577	PRKN;GRN;SET;KIF14;SIX1;HTRA2;NDNF;PARK7;HIF1A;CLN3;SYNGAP1;ERBB3;FGF20;FBXO7;PRKCG;NTRK1;NTRK2;MEF2C;KDM2B;ARMCX5-GPRASP2;TGFB3;WFS1;NONO;LIG4;PYCR1;NGF;HSPG2;POU4F1;SOD1;MAG;PINK1;MSH2;CLCF1;PPT1;IL6ST;RETREG1;CRLF1;ZPR1
Wound Healing (GO:0042060)	38/81	0.008500800260759925	0.07216603085479842	0	0	1.7545939992192292	8.365193527864577	SCARB1;MACF1;RAB3A;ITGB3;VPS4A;MIA3;GATA4;CLDN1;INS;PPP3CA;ERBB3;SMPD1;CHMP1A;ERBB2;HMOX1;KRT6A;PDGFRA;TGFB2;SMAD3;DST;MYOF;NOG;TPM1;WNT5A;WNT7A;IGF1;ANO5;TGFBR1;DSPP;COL3A1;CHMP2B;NF1;CHMP4B;MYH9;FGF13;ENG;PLEC;FGF10
Positive Regulation of Intracellular Transport (GO:0032388)	25/49	0.008550318104913805	0.07216603085479842	0	0	2.0671278982797308	9.84322232231271	PRKN;MTMR2;PGAP1;NUMA1;MLC1;ATP2A1;PTPN23;FYCO1;STK11;PDCD10;TPR;VPS11;PCNT;CEP290;DYNC1H1;ACTN2;B3GAT3;RDX;MSN;SORL1;ASPH;TBC1D20;CAPN10;NF2;VAMP2
B Cell Homeostasis (GO:0001782)	7/9	0.008606324123763286	0.07216603085479842	0	0	6.938385797404147	32.993814450445946	LYN;DOCK11;MEF2C;TNFRSF13B;PPP2R3C;TNFAIP3;NCKAP1L
Chloride Ion Homeostasis (GO:0055064)	7/9	0.008606324123763286	0.07216603085479842	0	0	6.938385797404147	32.993814450445946	SLC12A2;SLC12A3;SLC12A4;SLC12A5;SLC12A1;SLC12A6;SLC12A9
Lung Epithelium Development (GO:0060428)	7/9	0.008606324123763286	0.07216603085479842	0	0	6.938385797404147	32.993814450445946	BMP4;WNT7B;FOXJ1;GRHL2;PKD1;FGF10;STRA6
Monoatomic Anion Homeostasis (GO:0055081)	7/9	0.008606324123763286	0.07216603085479842	0	0	6.938385797404147	32.993814450445946	SLC12A2;SLC12A3;SLC12A4;SLC12A5;SLC12A1;SLC12A6;SLC12A9
Negative Regulation of Cell Adhesion Mediated by Integrin (GO:0033629)	7/9	0.008606324123763286	0.07216603085479842	0	0	6.938385797404147	32.993814450445946	MUC1;WNK1;NEXMIF;PDE3B;SERPINE1;CYP1B1;JAM3
Positive Regulation of Phospholipase Activity (GO:0010518)	7/9	0.008606324123763286	0.07216603085479842	0	0	6.938385797404147	32.993814450445946	APOC2;CCL5;PLAA;PLA2G5;FGFR3;FGFR2;FGFR1
Regulation of Receptor Binding (GO:1900120)	7/9	0.008606324123763286	0.07216603085479842	0	0	6.938385797404147	32.993814450445946	GREM2;HFE;ADIPOQ;ATP2A2;B2M;MMP9;PTPRF
Smooth Muscle Tissue Development (GO:0048745)	7/9	0.008606324123763286	0.07216603085479842	0	0	6.938385797404147	32.993814450445946	EFEMP2;SHH;PTCH1;NF1;ENG;MYLK;STRA6
Glial Cell Differentiation (GO:0010001)	16/28	0.008695975861806305	0.07245259633504966	0	0	2.6447564983567373	12.549091633881854	EIF2B5;EGR2;MYRF;STAT3;SOX10;PAX2;PHOX2B;SOX2;SHH;RELN;CDH2;ERBB3;CDK5;NFIB;SOX9;FGF10
Hydrogen Peroxide Metabolic Process (GO:0042743)	16/28	0.008695975861806305	0.07245259633504966	0	0	2.6447564983567373	12.549091633881854	HBG2;HBG1;LRP5;HBB;APOA4;CYBA;HBD;PARK7;HBA1;MPO;SOD1;PRDX3;PRDX1;PXDN;HBQ1;DUOX2
Long-Term Synaptic Potentiation (GO:0060291)	16/28	0.008695975861806305	0.07245259633504966	0	0	2.6447564983567373	12.549091633881854	CAMK2B;SLC24A1;CAMK2D;SLC24A4;PLK2;CAMK2A;GRIN2B;GRIN2D;GRIN2A;NPTN;CALM3;CALM1;CALM2;GRIA3;SHANK2;VAMP2
Regulation of Mitophagy (GO:1901524)	16/28	0.008695975861806305	0.07245259633504966	0	0	2.6447564983567373	12.549091633881854	PRKN;SREBF1;FZD5;FBXW7;EIF2AK1;VPS13D;TSC2;NOD2;UBE2A;PINK1;STUB1;DNM1L;FBXO7;FBXL4;SLC25A4;CERS1
2-Oxoglutarate Metabolic Process (GO:0006103)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	PHYH;GPT2;IDH1;IDH2;LDHD;OGDH;OGDHL;D2HGDH;L2HGDH;KGD4
Actin-Myosin Filament Sliding (GO:0033275)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	MYH2;MYH3;TTR;TNNT2;TPM1;MYH8;TCAP;TNNI3;MYH6;MYH7
Amyloid Precursor Protein Catabolic Process (GO:0042987)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	PSENEN;CLN3;ADAM17;NCSTN;DYRK1A;PSEN2;ADAM10;APOA1;ADAM9;PSEN1
Mitotic Recombination (GO:0006312)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	RAD50;RAD51D;RAD51;MSH2;TERT;MSH3;NSMCE2;SMC5;HID1;RAD54B
Multicellular Organismal-Level Iron Ion Homeostasis (GO:0060586)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	TF;TFRC;TMPRSS6;HJV;TFR2;HFE;SLC11A2;SLC40A1;HMOX1;HAMP
Odontogenesis of Dentin-Containing Tooth (GO:0042475)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	TBX1;FOXC1;BMP2;EDA;ANKRD11;ROGDI;AMTN;MSX1;SCN5A;GLI2
Positive Regulation of Autophagy of Mitochondrion (GO:1903599)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	PRKN;EIF2AK1;VPS13D;STUB1;NOD2;PARK7;UBE2A;FBXO7;SLC25A4;CERS1
Positive Regulation of Glycogen Metabolic Process (GO:0070875)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	MAP4K2;IRS1;INSR;AKT2;PTRH2;PHKG2;IGF2;PHKA1;IGF1;INS
Regulation of Catecholamine Secretion (GO:0050433)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	CHRNB2;PRKN;GRK2;CHRNA4;KCNB1;KCNA2;DTNBP1;FGF20;STX1A;SNCA
Regulation of Nitric-Oxide Synthase Activity (GO:0050999)	10/15	0.008926221694563521	0.07284469074172964	0	0	3.9656716417910447	18.7130609497048	NUS1;SCARB1;GCH1;TERT;LEP;NPRL3;NOS1AP;ESR1;HIF1A;INS
Positive Regulation of Protein Catabolic Process (GO:0045732)	45/99	0.009019529408711553	0.07284469074172964	0	0	1.654913728432108	7.791934762838325	AMER1;PRKN;APP;GSK3B;NDUFA13;VCP;KCNE2;CDKN1B;FMR1;TMTC3;PCSK9;TNFAIP3;TREM2;PRICKLE1;TNF;FOXO1;DDRGK1;CPAMD8;VPS11;GPC3;PACSIN3;VPS35;APOE;ATG7;DACT1;NSF;BARD1;FBXW7;PLK2;WNT5A;RDX;AXIN1;MSN;SNF8;SORL1;ADRA2A;DDB1;PSMC5;PROC;IFNG;PSMC3;ADAM9;TRIM32;GPLD1;RAB7A
Skeletal Muscle Tissue Development (GO:0007519)	22/42	0.0090230274807718	0.07284469074172964	0	0	2.182565789473684	10.2754659591601	RYR1;ZBTB18;POPDC3;SVIL;EGR2;MEF2C;CAV1;SIX1;FOXL2;KLHL40;LEMD2;LMOD3;KLHL41;SKI;PPP3CA;SELENON;CSRP3;MYOD1;MYH14;DMD;MYORG;MYF5
Negative Regulation of Osteoblast Differentiation (GO:0045668)	19/35	0.009161882941160732	0.07284469074172964	0	0	2.3558324615154684	11.055223379291382	GSK3B;NOTCH1;PTCH1;NOG;LRP5;PTEN;TWIST2;TWIST1;RORB;TMEM53;SMAD6;SKI;CDK6;SUFU;PPARG;SOX9;FGF23;MEN1;TRPM4
Neurotransmitter Secretion (GO:0007269)	19/35	0.009161882941160732	0.07284469074172964	0	0	2.3558324615154684	11.055223379291382	BRSK1;SNAP25;RAB3A;SNAPIN;UNC13A;SLC32A1;SYT1;NRXN1;RIMS2;PCLO;CDK5;DNAJC5;DVL1;OTOF;PIP5K1C;PPFIA3;STX1A;VAMP2;SNCA
Skeletal Muscle Organ Development (GO:0060538)	19/35	0.009161882941160732	0.07284469074172964	0	0	2.3558324615154684	11.055223379291382	ZBTB18;POPDC3;SVIL;MEF2C;CAV1;SIX1;FOXL2;DISP1;FXR1;CSRP3;DES;MYMX;WT1;MYOD1;MYH14;DMD;LARGE1;STRA6;MYF5
Protein Localization to Organelle (GO:0033365)	65/151	0.00918354868103427	0.07284469074172964	0	0	1.5018461161565786	7.04417128910411	DDX3X;CCDC47;LRRK2;DNAAF11;SIX1;SNX10;BICD2;SEC61A1;CSRP3;CEP250;BBS9;VPS35;DNM1L;GET3;IFT56;BBS4;WDR83OS;COG7;IFT140;TTC21A;ANK2;CSNK1D;WDR35;TOPORS;RAB33B;OBSCN;POLR1A;POLR1B;OBSL1;OPTN;FAM149B1;ARL6;DHX9;ARL3;RAP1GDS1;RPL11;XPA;TULP3;TULP1;TOR1AIP1;FAM83H;NUAK2;DDRGK1;TTC21B;DVL1;LMNA;MSX1;ZNF423;ZBTB7A;CEP78;BBS2;TUB;BBS1;TOR1A;CDKN2A;EIF2AK1;IFT122;ISG15;SORL1;COL1A1;PIKFYVE;STING1;SARM1;CALR;FSIP2
Catecholamine Biosynthetic Process (GO:0042423)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	DDC;TGFB2;GCH1;TH;PAH;DBH;GATA3;SNCA
Central Nervous System Projection Neuron Axonogenesis (GO:0021952)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	CHRNB2;SPTBN4;SZT2;KIFBP;NFIB;MYCBP2;GLI2;PAFAH1B1
Ketone Biosynthetic Process (GO:0042181)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	UBIAD1;TPI1;SRD5A2;CYP11B2;CYP11B1;FSHB;LHB;CACNA1H
Positive Regulation of Extracellular Matrix Assembly (GO:1901203)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	PHLDB1;SMAD4;SMAD3;TGFB1;DAG1;EMILIN1;CLASP1;TGFBR1
Positive Regulation of Integrin-Mediated Signaling Pathway (GO:2001046)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	LAMA2;LAMA1;LOXL3;FLNA;EMP2;LAMB1;LIMS2;LMNB2
Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	ATP5F1B;TGFB1;IMPDH1;ATP5PO;COX11;PRKAG2;LOC112694756;SLC25A13
Regulation of Cell Communication by Electrical Coupling Involved in Cardiac Conduction (GO:1901844)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	CAMK2D;CAV1;PDE4D;CALM3;SRI;TBX5;CALM2;TRDN
Regulation of Ferroptosis (GO:0110075)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	GPX4;FTH1;HMOX1;SC5D;DHCR7;SLC39A7;SQSTM1;NFE2L2
Regulation of Mesenchymal Cell Proliferation (GO:0010464)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	TBX1;STAT1;MYC;WNT5A;LRP5;SOX9;FGFR2;TGFBR2
Skeletal Muscle Fiber Development (GO:0048741)	8/11	0.009200641659078364	0.07284469074172964	0	0	5.286780065652044	24.786973449661986	RYR1;SKI;PPP3CA;SELENON;SIX1;KLHL40;LMOD3;MYORG
Atrial Septum Development (GO:0003283)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	NOTCH2;TGFB2;BMPR2;GJA5;HEY2;TBX20;NPHP3;GATA4;NKX2-5
Cochlea Morphogenesis (GO:0090103)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	TBX1;MYO3A;HOXA1;SOX9;NEUROG1;PAX2;TBX18;POU3F4;NECTIN1
Embryonic Hemopoiesis (GO:0035162)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	KITLG;TPO;KMT2A;KIT;KDR;FLT3LG;HSCB;SH2B3;TGFBR2
Inner Ear Receptor Cell Stereocilium Organization (GO:0060122)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	GRXCR1;REST;WHRN;STRC;USH1C;CLRN2;PDZD7;SOD1;TPRN
Muscle Filament Sliding (GO:0030049)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	MYH3;TTR;TNNT2;TPM1;MYH8;TCAP;TNNI3;MYH6;MYH7
Neuronal Action Potential (GO:0019228)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	CHRNA1;ASIC5;KCNA1;KCNA2;SCN9A;MYH14;SCN2A;SCN4B;KCNK4
Positive Regulation of Sodium Ion Transport (GO:0010765)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	NANOS1;WNK3;PKP2;ANK3;SCN5A;NKX2-5;SCN3B;SCN4B;SCN1B
Reg of Calcium Ion Transmembrane Transport via High Voltage-Gated Calcium Channel (GO:1902514)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	NANOS1;CACNB1;CACNB2;CAMK2D;BIN1;CACNA2D1;PDE4D;NOS1AP;NPPA
Regulation of Hematopoietic Stem Cell Differentiation (GO:1902036)	9/13	0.009231084469951191	0.07284469074172964	0	0	4.461050589464259	20.90081939469278	FOXC1;ITCH;KAT5;PRKDC;SETD1A;EIF2AK2;CCM2;PUS7;N4BP2L2
Axon Development (GO:0061564)	48/107	0.00962457759375936	0.07583528408717782	0	0	1.615761541553664	7.502684156028531	APP;BRSK1;SPTBN4;BRSK2;RAB3A;DOCK7;MTR;ARHGAP35;ACTG1;NEUROD1;ATOH7;NEUROD2;GRM7;SLITRK1;SVBP;SLITRK3;SLITRK6;NRCAM;APBB1;CTNNA2;EPHB2;NEFH;SPG11;MARK2;ATOH1;SLC25A46;NTNG2;BCL11B;DCC;WNT7A;ANK3;L1CAM;BAIAP2;MAPK8IP3;POU4F1;PAX2;DHFR;AFG3L2;CDK5;MAP1B;PARD3;TAOK2;PLP1;MAPT;NEUROG1;FGFR2;NEUROG3;ZPR1
BMP Signaling Pathway (GO:0030509)	24/47	0.009752048243358718	0.07620604804693656	0	0	2.070569262183147	9.587311177500892	ACVRL1;SMAD4;BMPR2;AMHR2;DLX5;USP9X;HFE;USP9Y;GDF2;SMAD9;GDF6;SMAD6;BMP7;GDF5;RUNX2;BMP4;BMP2;HJV;SLC39A5;PPARG;BMPR1B;MEGF8;BMPR1A;ENG
Double-Strand Break Repair via Nonhomologous End Joining (GO:0006303)	24/47	0.009752048243358718	0.07620604804693656	0	0	2.070569262183147	9.587311177500892	DCLRE1B;SMARCAL1;DCLRE1C;MRE11;KDM2A;XRCC4;PRKDC;PNKP;NSMCE2;LIG4;SMC5;HMGB1;RNF168;POLA1;POLG2;ERCC4;ERCC1;ERCC8;ATM;POLK;TP53BP1;ERCC6;ZBTB7A;NHEJ1
Dendritic Spine Organization (GO:0097061)	15/26	0.009773746591012156	0.07620604804693656	0	0	2.7046642677710637	12.517336089431627	PRNP;ARF1;MTMR2;ITGA3;CTNND2;INSR;PTEN;WNT7A;TREM2;IGF1R;CDC42;FYN;EPHB2;SHANK3;SHANK1
Fat-Soluble Vitamin Metabolic Process (GO:0006775)	15/26	0.009773746591012156	0.07620604804693656	0	0	2.7046642677710637	12.517336089431627	VKORC1;UBIAD1;LRP2;CYP3A4;RLBP1;RPE65;CYP27B1;CYP24A1;GGCX;CYP11A1;TTPA;ALDH1A2;CYP2R1;LRAT;GC
Regulation of Lipid Catabolic Process (GO:0050994)	15/26	0.009773746591012156	0.07620604804693656	0	0	2.7046642677710637	12.517336089431627	ALK;SCARB2;HPGD;PDE3B;APOA2;APOC3;TNF;APOA5;ADRA2A;CIDEC;INS;BSCL2;ANGPTL3;LONP2;ABCD1
Regulation of Nucleotide-Excision Repair (GO:2000819)	15/26	0.009773746591012156	0.07620604804693656	0	0	2.7046642677710637	12.517336089431627	SMARCE1;SMARCD1;SMARCD2;PBRM1;SMARCC1;SMARCB1;SMARCC2;ACTL6B;ARID1A;ARID1B;SMARCA2;SMARCA4;DPF2;ERCC8;ARID2
