"Gene","Frequency"
"MYOF",2
"NAE1",2
"NANOS1",2
"NCKAP1",2
"NCKAP1L",2
"NEXMIF",2
"NFASC",2
"NKX2-5",2
"NLGN3",2
"NR1D1",2
"NR2E3",2
"NRXN3",2
"OCLN",2
"P3H1",2
"PARD3",2
"PEX13",2
"PHACTR1",2
"PITX3",2
"PLAA",2
"PLCG2",2
"POMGNT2",2
"PPP1R12A",2
"PQBP1",2
"PRKCG",2
"PRKD1",2
"PRODH",2
"RACGAP1",2
"RETREG1",2
"RHOA",2
"ROGDI",2
"RUNX2",2
"SCARB2",2
"SCN2A",2
"SCYL2",2
"SDCCAG8",2
"SERPINF1",2
"SERPINI1",2
"SET",2
"SETX",2
"SIAH1",2
"SLC12A2",2
"SLC17A8",2
"SLC1A2",2
"SLC4A10",2
"SLC5A7",2
"SLC6A17",2
"SLITRK3",2
"SLITRK6",2
"SMAD4",2
"SOD1",2
"SPEF2",2
"SPG11",2
"SYN1",2
"SYNGAP1",2
"TAOK2",2
"TBC1D24",2
"TBCD",2
"TBR1",2
"TCF7L2",2
"TDP2",2
"TENM4",2
"TFAP2A",2
"TFAP2B",2
"TGFB3",2
"TGFBR1",2
"TIAM1",2
"TJP2",2
"TMEM106B",2
"TNIK",2
"TNXB",2
"TOR1A",2
"TRPV4",2
"TUBB2A",2
"UGDH",2
"UNC13A",2
"VPS13B",2
"VPS51",2
"WFS1",2
"WNK1",2
"WNT10A",2
"WNT10B",2
"WNT2B",2
"WNT4",2
"ZEB1",2
"ZPR1",2
"ABCB1",1
"ABCB6",1
"ABCC9",1
"ACP4",1
"ADGRG1",1
"ADGRV1",1
"AFF2",1
"AFG2A",1
"AGTPBP1",1
"AKT1",1
"ANAPC7",1
"ARF1",1
"ARL3",1
"ARNT2",1
"ASIC5",1
"ATN1",1
"ATP13A2",1
"ATP1A2",1
"ATP8A1",1
"BBS2",1
"BIN1",1
"BMP4",1
"BMPR1A",1
"BPTF",1
"CACNB2",1
"CAMK2D",1
"CASZ1",1
"CCDC88A",1
"CCKBR",1
"CD36",1
"CDHR1",1
"CENPF",1
"CEP120",1
"CFAP418",1
"CHD8",1
"CHRNA2",1
"CHRNA4",1
"CHRNB1",1
"CHRND",1
"CIC",1
"CLASP1",1
"CLDN1",1
"CLDN5",1
"CLRN1",1
"COL4A1",1
"CPE",1
"CTNS",1
"CUL7",1
"CUX1",1
"CYFIP2",1
"DAG1",1
"DAGLA",1
"DCHS1",1
"DHX37",1
"DLL4",1
"DNAJC30",1
"DNAJC5",1
"DOK7",1
"DSCAM",1
"DSPP",1
"DTNA",1
"ECEL1",1
"EFNB1",1
"EGLN1",1
"EGR2",1
"EPHA10",1
"ERCC2",1
