"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"280","Drug metabolism","2/108",0.813352495790826,0.851115290238258,0,0,0.647776400013405,0.133824572953461,"DPYD;FMO3"
"281","Ribosome","3/158",0.827414555383876,0.862748984795287,0,0,0.663988061072208,0.125792161951776,"RPL5;MRPS14;RPL11"
"282","Retinol metabolism","1/68",0.858005377329774,0.88713581836394,0,0,0.512543664655446,0.0784934545375447,"RPE65"
"283","Tight junction","3/169",0.859918153507467,0.88713581836394,0,0,0.619635124126399,0.0935141336936434,"CDC42;CLDN19;PRKACB"
"284","Protein processing in endoplasmic reticulum","3/171",0.865215801195068,0.88713581836394,0,0,0.612194966954753,0.0886313356718875,"EDEM3;ATF6;DDOST"
"285","Epithelial cell signaling in Helicobacter pylori infection","1/70",0.865941447276747,0.88713581836394,0,0,0.497635933806147,0.0716287138493282,"CDC42"
"286","RIG-I-like receptor signaling pathway","1/70",0.865941447276747,0.88713581836394,0,0,0.497635933806147,0.0716287138493282,"ISG15"
"287","Oocyte meiosis","2/129",0.882972682447811,0.901432041662748,0,0,0.540076362568356,0.0672184528362936,"CDC20;PRKACB"
"288","Antigen processing and presentation","1/78",0.893497486553717,0.905864233772453,0,0,0.445749286174818,0.0501966104853308,"RFX5"
"289","Synaptic vesicle cycle","1/78",0.893497486553717,0.905864233772453,0,0,0.445749286174818,0.0501966104853308,"SLC6A9"
"290","IL-17 signaling pathway","1/94",0.932799895067662,0.942449549154569,0,0,0.368756196141234,0.0256523683868394,"TRAF5"
"291","Herpes simplex virus 1 infection","8/498",0.972638520257143,0.979323321083653,0,0,0.55530722163192,0.0154057640554701,"RNASEL;EIF2B3;AKT3;TRAF5;PIK3CD;FASLG;MTOR;JAK1"
"292","Ubiquitin mediated proteolysis","1/140",0.982154984233972,0.985518528700526,0,0,0.246135006888107,0.004431945822184,"CDC20"
"293","Olfactory transduction","5/440",0.995183255446658,0.995183255446658,0,0,0.389983579638752,0.0018829898731288,"RGS2;OR2W3;GNB1;OR2T8;PRKACB"
