"Gene","Disease"
"NGF","HSAN"
"PARK7","Parkinson"
"PINK1","Parkinson"
"NTRK1","CIPA"
"DOCK7","Epileptic encephalopathy"
"DISC1","Neurodevelopmental disorder"
"MFSD2A","Microcephaly"
"DVL1","Robinow syndrome"
"TGFB2","Loeys-Dietz syndrome"
"PCSK9","Hypercholesterolemia"
